jour,mois,lum,agg,int,atm,col,catr,circ,vosp,prof,plan,surf,infra,situ,vma,place,sexe,an_nais,trajet,locp,senc,catv,obs,obsm,manv,nb_v,nb_u,hr,has_ceinture,has_gants,has_casque,has_airbag,has_gilet,has_de,choc_avant,choc_arriere,choc_gauche,choc_droit,target
12,7,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,normale,90,conducteur,masculin,2000,personnelle,sans,croissant,vl,aucun,vehicule,2,2,3,5,1,0,0,0,0,0,0,1,0,0,0
14,12,nocturne,non,aucun,normale,autres,route_principale,complexe,sans,plat,rectiligne,normale,aucun,normale,90,conducteur,masculin,1982,personnelle,sans,decroissant,vl,aucun,vehicule,12,3,4,18,1,0,0,0,0,0,1,0,0,1,0
30,10,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,70,conducteur,feminin,1994,domicile,sans,decroissant,2rm,aucun,vehicule,3,2,2,9,0,1,1,0,0,0,1,0,0,0,0
15,6,jour,oui,complexe,normale,deux_vl,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,30,conducteur,masculin,1964,domicile,sans,croissant,cycle_edp,aucun,vehicule,1,2,2,8,0,1,1,0,0,0,1,0,0,0,0
13,3,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,avec,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1974,personnelle,sans,croissant,vl,aucun,vehicule,24,2,3,17,1,0,0,0,0,0,0,0,1,0,0
28,12,jour,non,aucun,pluvieuses,sans_collision,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,particuliere,50,passager,feminin,2005,personnelle,sans,croissant,vl,naturel,aucun,1,1,7,13,0,0,0,0,0,0,1,0,0,0,0
11,11,jour,oui,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,passager_avant,masculin,1975,professionnelle,sans,croissant,vl,aucun,vehicule,11,2,4,12,1,0,0,0,0,0,1,0,1,0,0
24,6,jour,non,complexe,normale,autres,route_principale,complexe,sans,plat,rectiligne,normale,zones,normale,130,conducteur,masculin,1999,professionnelle,sans,croissant,vl,aucun,vehicule,1,3,4,8,1,0,0,0,0,0,1,0,1,0,1
9,9,jour,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,30,pieton,masculin,2017,personnelle,autre,croissant,vl,aucun,pieton,26,1,3,18,0,0,0,0,0,0,1,0,1,0,1
31,7,jour,non,aucun,normale,autres,route_secondaire,simple,sans,plat,courbe,autre,aucun,particuliere,80,conducteur,masculin,1960,personnelle,sans,inconnu,2rm,naturel,aucun,1,1,1,19,0,1,1,0,0,0,1,0,1,0,1
