jour,mois,lum,agg,int,atm,col,catr,circ,vosp,prof,plan,surf,infra,situ,vma,place,sexe,an_nais,trajet,locp,senc,catv,obs,obsm,manv,nb_v,nb_u,hr,has_ceinture,has_gants,has_casque,has_airbag,has_gilet,has_de,choc_avant,choc_arriere,choc_gauche,choc_droit,target
1,1,nocturne,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,particuliere,50,conducteur,masculin,1988,personnelle,sans,inconnu,pl,aucun,vehicule,1,2,2,22,0,0,0,0,0,0,1,0,0,1,1
29,3,crepuscule_aube,non,aucun,normale,sans_collision,route_secondaire,simple,sans,plat,courbe,normale,aucun,particuliere,80,conducteur,masculin,1996,personnelle,sans,croissant,2rm,naturel,aucun,0,1,1,20,0,1,1,0,0,0,0,0,0,0,1
29,6,jour,non,aucun,normale,deux_vl,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,90,conducteur,feminin,1963,personnelle,sans,decroissant,vl,aucun,vehicule,2,2,2,18,1,0,0,0,0,0,0,1,1,0,0
21,7,nocturne,non,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,feminin,1975,personnelle,sans,croissant,vl,aucun,vehicule,1,2,3,21,1,0,0,0,0,0,0,0,0,1,0
9,2,crepuscule_aube,non,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,masculin,1975,domicile,sans,decroissant,2rm,aucun,vehicule,1,2,2,18,0,1,1,0,0,0,0,0,1,0,1
20,8,jour,non,aucun,normale,autres,route_secondaire,simple,sans,incline,courbe,normale,aucun,particuliere,80,conducteur,feminin,1965,domicile,sans,croissant,vl,naturel,aucun,14,1,1,13,1,0,0,0,0,0,1,0,0,1,1
27,5,jour,oui,aucun,normale,sans_collision,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,particuliere,50,conducteur,masculin,1990,personnelle,sans,decroissant,vl,structurel,aucun,13,1,1,16,1,0,0,0,0,0,1,0,0,0,1
18,6,nocturne,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,particuliere,50,passager,feminin,1998,personnelle,sans,croissant,vl,structurel,aucun,1,1,3,23,1,0,0,0,0,0,1,0,0,0,1
7,5,jour,non,simple,normale,deux_vl,route_secondaire,simple,sans,incline,courbe,normale,routiers,normale,80,passager_avant,feminin,1966,personnelle,sans,croissant,2rm,aucun,vehicule,1,2,3,16,0,0,1,0,0,0,0,0,1,0,1
27,11,nocturne,non,aucun,normale,deux_vl,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,80,conducteur,masculin,1981,personnelle,sans,croissant,vl,aucun,vehicule,13,2,3,19,1,0,0,0,0,0,1,0,0,0,0
26,9,jour,non,aucun,normale,deux_vl,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,70,conducteur,masculin,1968,personnelle,sans,decroissant,vl,structurel,vehicule,1,2,2,15,0,0,0,0,0,0,1,0,0,0,0
2,8,jour,oui,aucun,normale,deux_vl,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,50,passager_avant,masculin,2005,personnelle,sans,croissant,vl,aucun,aucun,15,2,4,9,1,0,0,0,0,0,0,1,0,0,0
27,7,nocturne,non,aucun,normale,autres,route_principale,simple,sans,incline,courbe,normale,aucun,normale,70,conducteur,masculin,1977,personnelle,sans,croissant,2rm,structurel,aucun,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
1,6,jour,non,simple,normale,deux_vl,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,normale,80,conducteur,masculin,1995,personnelle,sans,croissant,2rm,aucun,vehicule,1,2,2,16,0,1,1,0,0,0,1,0,0,0,1
5,9,nocturne,oui,aucun,difficiles,autres,route_secondaire,simple,sans,incline,courbe,normale,aucun,particuliere,50,passager_avant,masculin,1998,personnelle,sans,inconnu,vl,structurel,aucun,26,1,2,5,1,0,0,0,0,0,1,0,0,0,1
18,4,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1983,personnelle,sans,decroissant,cycle_edp,aucun,vehicule,1,2,2,20,0,0,1,0,0,0,1,0,0,0,0
19,8,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,passager,masculin,1955,personnelle,sans,decroissant,vl,aucun,aucun,11,2,7,16,1,0,0,0,0,0,1,0,0,0,0
4,5,jour,oui,simple,normale,autres,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,normale,50,conducteur,masculin,2000,professionnelle,sans,decroissant,vl,structurel,aucun,14,1,1,10,1,0,0,0,0,0,1,0,0,1,0
26,7,jour,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,passager_avant,feminin,1994,personnelle,sans,croissant,vl,aucun,pieton,1,1,3,16,1,0,0,0,0,0,1,0,0,1,0
10,5,jour,oui,aucun,difficiles,autres,route_urbaine,simple,sans,incline,rectiligne,normale,zones,particuliere,50,pieton,feminin,1943,autre,chaussee,inconnu,vl,aucun,pieton,1,1,2,18,0,0,0,0,0,0,1,0,0,0,1
28,2,nocturne,non,aucun,pluvieuses,autres,route_principale,complexe,sans,incline,rectiligne,normale,aucun,normale,130,conducteur,feminin,1940,personnelle,sans,croissant,vl,naturel,aucun,2,1,1,19,1,0,0,0,0,0,0,0,0,1,1
20,2,jour,non,simple,difficiles,deux_vl,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,80,passager_avant,masculin,1957,personnelle,sans,decroissant,vl,aucun,vehicule,1,2,3,17,1,0,0,0,0,0,1,0,0,0,1
21,1,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,feminin,1993,domicile,sans,croissant,2rm,aucun,vehicule,17,2,2,17,0,1,1,0,0,0,0,0,0,1,1
10,5,nocturne,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,particuliere,50,conducteur,masculin,1927,personnelle,sans,croissant,vl,aucun,vehicule,1,1,1,20,1,0,0,0,0,0,1,0,0,0,1
8,10,nocturne,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,90,passager,feminin,2005,personnelle,sans,inconnu,vl,aucun,vehicule,26,2,4,23,1,0,0,0,0,0,1,1,1,1,0
3,9,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,70,conducteur,masculin,1998,personnelle,sans,decroissant,vl,aucun,vehicule,18,2,3,15,1,0,0,0,0,0,1,0,0,1,1
9,9,jour,oui,simple,normale,deux_vl,route_secondaire,simple,avec,plat,rectiligne,normale,aucun,normale,50,conducteur,feminin,1977,personnelle,sans,croissant,cycle_edp,aucun,vehicule,1,2,2,18,0,0,1,0,0,0,1,0,0,0,1
9,1,nocturne,non,complexe,pluvieuses,deux_vl,route_principale,simple,sans,incline,courbe,humide,aucun,normale,90,passager,feminin,1949,autre,sans,croissant,vl,structurel,vehicule,2,2,6,20,1,0,0,0,0,0,1,0,1,0,1
28,8,nocturne,oui,simple,normale,deux_vl,route_secondaire,simple,avec,incline,rectiligne,normale,aucun,normale,50,conducteur,masculin,1983,personnelle,sans,decroissant,cycle_edp,aucun,vehicule,1,2,2,23,0,0,0,0,0,0,1,0,0,1,1
28,8,jour,oui,aucun,normale,deux_vl,route_principale,simple,sans,incline,courbe,normale,aucun,normale,50,conducteur,masculin,1949,personnelle,sans,decroissant,cycle_edp,aucun,vehicule,13,2,2,8,0,0,1,0,0,0,1,0,0,0,1
14,6,nocturne,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,50,conducteur,masculin,1997,personnelle,sans,croissant,2rm,structurel,aucun,1,1,1,6,0,0,1,0,0,0,1,0,0,0,1
8,2,jour,oui,simple,normale,autres,route_secondaire,simple,avec,plat,rectiligne,normale,zones,normale,50,pieton,feminin,2015,personnelle,chaussee,decroissant,vl,aucun,pieton,4,1,2,14,0,0,0,0,0,0,0,1,1,0,0
9,8,jour,oui,aucun,pluvieuses,deux_vl,route_secondaire,simple,sans,incline,courbe,humide,aucun,normale,50,conducteur,masculin,1965,professionnelle,sans,inconnu,pl,aucun,vehicule,26,2,2,15,1,0,0,0,0,0,1,0,1,0,0
15,9,jour,non,aucun,pluvieuses,deux_vl,route_secondaire,simple,sans,incline,courbe,humide,aucun,normale,80,conducteur,masculin,1988,personnelle,sans,croissant,vl,aucun,vehicule,1,2,3,17,1,0,0,0,0,0,1,0,1,0,1
28,3,jour,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,routiers,normale,70,conducteur,feminin,1977,professionnelle,sans,croissant,vl,aucun,vehicule,23,3,3,13,1,0,0,0,0,0,0,1,0,0,0
23,11,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,80,conducteur,masculin,1991,professionnelle,sans,croissant,pl,aucun,vehicule,1,2,2,8,1,0,0,0,0,0,1,0,1,0,1
30,5,jour,non,aucun,difficiles,autres,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,normale,90,conducteur,masculin,1996,personnelle,sans,decroissant,vl,naturel,aucun,1,3,4,17,1,0,0,0,0,0,0,1,1,0,0
31,5,jour,non,aucun,normale,deux_vl,route_principale,complexe,sans,plat,rectiligne,normale,aucun,normale,110,passager,feminin,2015,personnelle,sans,croissant,vl,aucun,vehicule,2,2,5,16,1,0,0,0,0,0,0,1,0,0,0
16,11,crepuscule_aube,oui,aucun,normale,deux_vl,route_principale,complexe,sans,plat,rectiligne,humide,aucun,normale,90,passager_avant,masculin,1992,personnelle,sans,croissant,vl,aucun,vehicule,11,2,3,7,1,0,0,0,0,0,0,1,1,0,0
16,9,crepuscule_aube,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,30,conducteur,masculin,1988,personnelle,sans,croissant,vl,aucun,vehicule,1,3,3,8,1,0,0,0,0,0,1,0,0,0,0
3,5,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,passager,masculin,2008,personnelle,sans,inconnu,vl,aucun,vehicule,1,2,5,19,1,0,0,0,0,0,1,0,0,0,0
3,7,jour,oui,simple,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,pieton,masculin,1932,personnelle,chaussee,decroissant,pl,aucun,pieton,16,1,2,14,0,0,0,0,0,0,1,0,0,0,1
1,1,nocturne,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,courbe,normale,aucun,particuliere,50,conducteur,masculin,1998,personnelle,sans,decroissant,vl,structurel,aucun,1,1,4,5,0,0,0,0,0,0,1,0,0,0,1
24,2,jour,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,pieton,feminin,2003,autre,chaussee,croissant,vl,structurel,pieton,19,1,2,17,0,0,0,0,0,0,1,0,0,0,0
13,10,jour,non,aucun,normale,autres,route_principale,complexe,sans,plat,rectiligne,normale,aucun,normale,110,conducteur,masculin,1964,personnelle,sans,decroissant,vl,aucun,vehicule,2,3,3,18,1,0,0,0,0,0,1,0,0,0,0
12,9,jour,oui,simple,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,pieton,masculin,2010,domicile,chaussee,inconnu,vl,aucun,pieton,1,1,2,18,0,0,0,0,0,0,1,0,1,0,1
24,7,jour,non,aucun,normale,autres,route_secondaire,complexe,avec,incline,rectiligne,normale,routiers,normale,50,passager_avant,feminin,1963,personnelle,sans,decroissant,vl,aucun,vehicule,11,2,5,15,1,0,0,0,0,0,0,1,1,0,0
25,10,jour,oui,simple,normale,autres,route_secondaire,complexe,avec,plat,rectiligne,normale,aucun,normale,50,pieton,feminin,1993,personnelle,chaussee,decroissant,2rm,structurel,pieton,1,1,2,9,0,0,0,0,0,0,1,0,0,0,1
8,11,jour,oui,aucun,pluvieuses,deux_vl,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,50,passager_avant,masculin,2022,personnelle,sans,croissant,vl,aucun,vehicule,1,2,4,17,0,0,0,0,0,1,0,1,0,0,0
13,8,jour,oui,simple,normale,deux_vl,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,normale,50,conducteur,masculin,2008,personnelle,sans,croissant,cycle_edp,aucun,vehicule,1,2,2,17,0,0,0,0,0,0,0,0,0,0,1
11,8,crepuscule_aube,non,aucun,normale,autres,route_principale,complexe,sans,plat,courbe,normale,aucun,normale,110,conducteur,masculin,1995,personnelle,sans,decroissant,vl,structurel,aucun,1,1,2,6,1,0,0,0,0,0,1,0,1,0,0
3,1,jour,non,aucun,normale,deux_vl,route_principale,complexe,sans,plat,rectiligne,normale,aucun,normale,90,conducteur,masculin,1982,personnelle,sans,decroissant,vl,aucun,vehicule,2,2,5,11,1,0,0,0,0,0,1,0,0,0,0
23,7,jour,oui,aucun,difficiles,deux_vl,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,50,conducteur,feminin,1980,personnelle,sans,croissant,vl,naturel,vehicule,1,2,2,8,1,0,0,0,0,0,1,0,1,0,0
4,3,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,70,conducteur,feminin,1970,domicile,sans,inconnu,vl,aucun,vehicule,13,2,2,14,1,0,0,0,0,0,1,0,0,0,0
23,7,jour,non,aucun,normale,autres,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,50,conducteur,masculin,2002,professionnelle,sans,decroissant,pl,naturel,vehicule,13,3,4,7,1,0,0,0,0,0,1,0,0,0,0
1,6,nocturne,oui,aucun,normale,autres,route_secondaire,simple,sans,incline,courbe,normale,routiers,normale,50,conducteur,masculin,1988,personnelle,sans,inconnu,vl,structurel,aucun,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0
16,2,nocturne,oui,aucun,pluvieuses,autres,route_urbaine,simple,sans,plat,rectiligne,humide,aucun,normale,50,pieton,feminin,1962,personnelle,chaussee,inconnu,vl,aucun,pieton,1,1,2,18,0,0,0,0,0,0,1,0,0,0,1
3,12,jour,oui,simple,difficiles,sans_collision,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,normale,50,pieton,feminin,1943,personnelle,chaussee,decroissant,vl,aucun,pieton,15,1,2,15,0,0,0,0,0,0,1,0,0,0,1
9,4,jour,non,simple,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,feminin,1940,autre,sans,decroissant,vl,aucun,vehicule,0,4,4,18,1,0,0,0,0,0,1,0,0,0,1
27,6,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,particuliere,80,conducteur,masculin,1999,personnelle,sans,croissant,vl,structurel,aucun,21,2,2,17,1,0,0,0,0,0,1,0,0,0,1
29,5,jour,oui,aucun,normale,autres,route_secondaire,simple,avec,plat,rectiligne,normale,aucun,particuliere,50,conducteur,masculin,1993,professionnelle,sans,inconnu,2rm,structurel,vehicule,1,3,3,19,0,0,1,0,0,0,1,1,1,1,1
10,1,jour,oui,simple,normale,deux_vl,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,normale,50,conducteur,feminin,1987,professionnelle,sans,croissant,vl,aucun,vehicule,1,2,6,10,1,0,0,0,0,0,1,0,0,1,0
16,6,jour,non,aucun,normale,autres,route_principale,complexe,sans,plat,rectiligne,normale,aucun,normale,130,conducteur,masculin,1991,professionnelle,sans,croissant,vl,aucun,vehicule,0,3,6,8,0,0,0,0,0,0,1,0,0,1,1
12,6,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,incline,courbe,humide,aucun,normale,110,passager,feminin,1994,personnelle,sans,decroissant,vl,aucun,vehicule,13,2,5,11,0,0,0,0,0,0,1,0,0,0,1
18,11,nocturne,oui,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1965,personnelle,sans,decroissant,2rm,aucun,vehicule,1,2,2,18,0,1,1,0,0,0,1,0,0,0,1
27,10,jour,oui,aucun,normale,deux_vl,route_principale,simple,sans,incline,rectiligne,normale,aucun,normale,50,conducteur,masculin,1968,personnelle,sans,decroissant,2rm,aucun,vehicule,17,2,3,17,0,1,1,0,0,0,0,0,0,1,0
24,7,nocturne,non,aucun,pluvieuses,autres,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,80,passager,feminin,2011,personnelle,sans,decroissant,vl,aucun,vehicule,1,3,10,22,1,0,0,0,0,0,1,0,0,0,1
8,7,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,90,conducteur,masculin,1985,personnelle,sans,decroissant,2rm,aucun,vehicule,1,2,2,17,0,1,1,0,0,0,1,0,0,0,1
5,7,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,avec,plat,rectiligne,normale,aucun,particuliere,30,passager,feminin,1977,professionnelle,sans,croissant,vl,aucun,vehicule,23,2,3,17,0,0,0,0,0,0,0,0,0,1,0
15,9,jour,oui,simple,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,pieton,feminin,1942,personnelle,chaussee,croissant,2rm,aucun,pieton,1,1,2,17,0,0,0,0,0,0,1,0,0,0,1
2,6,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,50,conducteur,masculin,1964,personnelle,sans,decroissant,2rm,aucun,vehicule,1,2,2,11,0,1,1,0,0,0,1,0,0,0,0
13,6,jour,non,simple,normale,deux_vl,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,normale,80,conducteur,masculin,2001,personnelle,sans,croissant,vl,naturel,vehicule,15,2,5,12,1,0,0,0,0,0,1,0,0,0,1
25,4,jour,non,aucun,normale,sans_collision,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,particuliere,50,conducteur,masculin,2002,personnelle,sans,inconnu,2rm,aucun,aucun,1,1,1,16,0,1,1,0,0,0,0,0,0,0,1
17,6,jour,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,pieton,masculin,1934,personnelle,chaussee,inconnu,vl,aucun,pieton,2,1,2,10,0,0,0,0,0,0,1,0,0,0,1
11,1,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,30,conducteur,feminin,1996,personnelle,sans,decroissant,vl,aucun,vehicule,23,2,2,12,1,0,0,0,0,0,0,1,1,0,1
30,11,jour,oui,aucun,normale,autres,route_principale,complexe,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,feminin,1997,personnelle,sans,croissant,vl,aucun,vehicule,23,3,3,9,1,0,0,0,0,0,0,1,0,1,0
17,1,nocturne,oui,simple,normale,deux_vl,route_secondaire,simple,avec,plat,rectiligne,humide,aucun,normale,50,conducteur,feminin,1998,personnelle,sans,croissant,vl,aucun,vehicule,15,2,2,20,1,0,0,0,0,0,1,0,1,0,0
30,9,nocturne,oui,simple,normale,deux_vl,route_secondaire,complexe,sans,incline,rectiligne,normale,aucun,normale,50,conducteur,masculin,1991,personnelle,sans,decroissant,2rm,aucun,vehicule,1,2,3,23,0,0,1,0,0,0,0,0,1,0,0
26,4,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,passager,feminin,1966,autre,sans,croissant,vl,aucun,vehicule,1,2,4,17,1,0,0,0,0,0,1,0,1,0,0
22,5,jour,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1974,domicile,sans,decroissant,2rm,aucun,pieton,1,2,3,18,0,0,1,0,0,0,1,0,0,0,0
25,6,nocturne,non,simple,normale,autres,route_secondaire,simple,sans,incline,courbe,normale,aucun,particuliere,80,conducteur,masculin,1982,autre,sans,croissant,vl,naturel,aucun,1,1,1,2,1,0,0,0,0,0,1,0,0,0,1
25,1,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,50,conducteur,feminin,1975,personnelle,sans,decroissant,cycle_edp,aucun,vehicule,1,2,2,11,0,0,1,0,0,0,1,0,0,0,1
20,5,nocturne,oui,aucun,normale,sans_collision,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,particuliere,80,conducteur,masculin,1996,personnelle,sans,croissant,vl,structurel,aucun,1,1,1,22,0,0,0,0,0,0,1,0,0,1,1
21,9,jour,non,aucun,pluvieuses,autres,route_principale,complexe,sans,plat,rectiligne,humide,aucun,normale,90,passager_avant,feminin,1989,personnelle,sans,croissant,vl,aucun,vehicule,1,8,9,10,1,0,0,0,0,0,0,1,1,0,1
7,6,nocturne,oui,simple,normale,deux_vl,route_secondaire,simple,avec,plat,rectiligne,humide,aucun,normale,30,conducteur,masculin,2000,personnelle,sans,croissant,vl,aucun,vehicule,26,2,2,3,0,0,0,0,0,0,1,0,0,0,0
1,7,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,70,passager_avant,feminin,1995,domicile,sans,decroissant,2rm,structurel,vehicule,17,2,3,12,0,1,1,0,0,0,1,0,0,0,1
22,10,nocturne,non,aucun,normale,deux_vl,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,90,passager,feminin,2012,personnelle,sans,decroissant,vl,aucun,vehicule,1,2,9,19,1,0,0,0,0,0,1,0,1,0,0
22,12,nocturne,non,aucun,pluvieuses,sans_collision,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,particuliere,80,conducteur,masculin,1990,personnelle,sans,inconnu,vl,aucun,aucun,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1
17,8,jour,oui,complexe,normale,sans_collision,route_urbaine,simple,sans,plat,courbe,normale,aucun,normale,50,conducteur,masculin,2001,personnelle,sans,decroissant,2rm,aucun,aucun,2,1,1,15,0,1,1,0,0,0,0,0,1,0,1
16,6,jour,non,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,feminin,1961,personnelle,sans,croissant,cycle_edp,aucun,vehicule,1,2,2,14,0,0,1,0,0,0,1,0,0,0,1
19,6,nocturne,oui,aucun,normale,autres,route_secondaire,simple,sans,incline,courbe,humide,aucun,particuliere,50,conducteur,masculin,1996,personnelle,sans,croissant,vl,structurel,aucun,1,1,3,4,1,0,0,0,0,0,1,0,1,0,1
7,9,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,passager,feminin,2010,personnelle,sans,inconnu,vl,aucun,vehicule,1,2,4,8,1,1,0,1,0,0,1,0,0,0,0
6,5,nocturne,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,courbe,normale,aucun,particuliere,50,conducteur,masculin,1971,personnelle,sans,inconnu,vl,aucun,vehicule,0,2,4,19,0,0,0,0,0,0,1,0,0,0,1
20,8,jour,non,aucun,normale,autres,route_principale,complexe,sans,plat,courbe,normale,aucun,normale,110,conducteur,masculin,1952,personnelle,sans,decroissant,2rm,structurel,aucun,13,1,1,16,0,1,1,0,0,0,0,0,1,0,1
17,6,jour,non,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,masculin,1999,personnelle,sans,inconnu,vl,naturel,aucun,1,1,1,20,1,0,0,0,0,0,1,0,0,0,1
6,1,jour,non,aucun,normale,autres,route_principale,complexe,sans,plat,courbe,normale,aucun,normale,110,conducteur,masculin,1983,professionnelle,sans,decroissant,pl,aucun,vehicule,11,4,4,8,1,0,0,0,0,0,0,0,1,0,0
2,6,jour,non,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,zones,normale,50,conducteur,masculin,1986,autre,sans,croissant,vl,aucun,vehicule,0,3,3,13,1,0,0,0,0,0,1,0,0,0,0
3,5,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,feminin,2003,personnelle,sans,inconnu,vl,aucun,vehicule,1,2,3,16,1,0,0,0,0,0,0,1,0,0,0
3,1,jour,non,aucun,normale,deux_vl,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,130,passager_avant,feminin,1978,personnelle,sans,decroissant,vl,aucun,vehicule,2,2,4,13,1,0,0,0,0,0,1,0,0,0,0
11,10,nocturne,oui,simple,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,70,conducteur,masculin,1992,personnelle,sans,croissant,vl,aucun,vehicule,2,3,3,0,1,0,0,0,0,0,1,0,0,0,0
30,4,jour,oui,simple,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,30,conducteur,feminin,1964,autre,sans,croissant,vl,aucun,pieton,1,1,2,20,1,0,0,0,0,0,1,0,0,0,0
1,3,jour,oui,complexe,normale,deux_vl,route_secondaire,simple,avec,plat,rectiligne,normale,routiers,normale,50,conducteur,masculin,1999,domicile,sans,inconnu,cycle_edp,aucun,vehicule,26,2,2,8,0,0,0,0,0,0,1,0,0,0,1
3,7,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,2009,personnelle,sans,decroissant,cycle_edp,aucun,vehicule,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0
10,5,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1980,personnelle,sans,croissant,2rm,aucun,vehicule,17,2,3,15,0,1,1,0,0,0,0,0,0,1,0
11,1,nocturne,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,30,conducteur,masculin,2001,personnelle,sans,croissant,2rm,aucun,vehicule,1,3,3,19,0,0,1,0,0,0,1,0,0,0,1
5,9,jour,non,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,masculin,1990,personnelle,sans,decroissant,vl,aucun,vehicule,13,3,3,16,1,0,0,0,0,0,1,0,1,0,1
16,1,nocturne,non,aucun,normale,autres,route_principale,simple,sans,plat,courbe,normale,aucun,normale,130,conducteur,masculin,1957,personnelle,sans,decroissant,vl,structurel,vehicule,5,3,4,22,1,0,0,0,0,0,1,0,0,0,0
15,1,nocturne,non,simple,difficiles,autres,route_secondaire,simple,sans,plat,courbe,humide,aucun,particuliere,80,passager_avant,masculin,2002,personnelle,sans,inconnu,vl,structurel,aucun,1,1,4,22,1,0,0,0,0,0,1,0,0,0,0
6,4,jour,non,complexe,normale,autres,route_principale,complexe,sans,plat,rectiligne,normale,aucun,normale,110,conducteur,masculin,1988,personnelle,sans,croissant,vl,aucun,vehicule,1,4,4,17,1,0,0,0,0,0,1,0,0,0,0
14,7,jour,oui,aucun,normale,sans_collision,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,30,conducteur,feminin,1998,personnelle,sans,croissant,2rm,aucun,aucun,26,1,1,5,0,1,1,0,0,0,0,0,1,0,1
31,5,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,80,passager_avant,feminin,1965,personnelle,sans,decroissant,2rm,aucun,vehicule,1,2,3,17,0,0,1,0,0,0,1,0,0,0,1
2,11,jour,oui,simple,normale,autres,route_secondaire,simple,avec,plat,rectiligne,normale,aucun,particuliere,50,conducteur,masculin,1990,professionnelle,sans,croissant,cycle_edp,aucun,pieton,1,1,2,16,0,0,1,0,0,0,1,0,0,0,0
19,2,jour,non,aucun,normale,sans_collision,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,particuliere,50,passager,masculin,1989,personnelle,sans,decroissant,vl,naturel,aucun,1,1,3,10,0,0,0,0,0,0,0,0,0,0,1
